性别,身高,体重
女,	1.61,	52.8
女,	1.63,	51.2
女,	1.63,	47
女,	1.58,	50
女,	1.67,	47
女,	1.62,	50
女,	1.54,	38
女,	1.54,	53
女,1.8,	68
女,	1.61,	53
女,	1.66,	49
女,	1.75,	56
女,	1.63,	48.5
女,	1.63,	46
女,	1.68,	57.5
女,	1.58,	45
女,	1.68,56
女,	1.60,	42
女,	1.59,	52
女,	1.54,	53
女,	1.60,	57
女,	1.65,	60
女,	1.68,	53

得
$$
\left [ \begin{matrix} 
a & b
\\
c & d
\end{matrix} \right ]
\left [ \begin{matrix}
k
\\
c_2
\end{matrix} \right ]=
\left [ \begin{matrix}
y_1
\\
y_2
\end{matrix} \right ]
$$
